1020359	Sendero Ixtapaluca	Ixtapaluca	Estado de Mexico	Mexico	359	10.116.16.	1..16
1020361	Cuautla	Cuautla	Morelos	Mexico	361	10.118.2.	1..12
1020369	Plaza Las Flores Comitan	Comitan	Chiapas	Mexico	369	10.124.8.	1..7
1020370	Town Center Zumpango	Zumpango	Estado de Mexico	Mexico	370	10.116.30.	1..11
1020371	Town Center El Rosario	Ciudad de Mexico	Ciudad de Mexico	Mexico	371	10.117.20.	1..16
1020372	Paseo San Isidro	Culiacan	Sinaloa	Mexico	372	10.101.7.	1..7
1020374	Gran Plaza Mazatlan	Mazatlan	Sinaloa	Mexico	374	10.101.5.	1..14
1020375	VIP Galerias Atizapan	Atizapan	Estado de Mexico	Mexico	375	10.116.18.	12..15
1020376	VIP Galerias Hipodromo	Tijuana	Baja California Norte	Mexico	376	10.96.18.	9..12
1020377	Cabo San Lucas	Los Cabos	Baja California Sur	Mexico	377	10.97.3.	1..10
1020378	Sendero Acapulco	Acapulco	Guerrero	Mexico	378	10.121.6.	1..8
1020379	VIP Sendero Saltillo	Saltillo	Coahuila	Mexico	379	10.100.2.	13..16
1020380	VIP Esfera Queretaro	Queretaro	Queretaro	Mexico	380	10.111.8.	1..15
1020385	Sendero Valle de Chalco	Valle de Chalco	Estado de Mexico	Mexico	385	10.116.35.	1..8
1020386	Ciudad Acuña	Ciudad Acuña	Coahuila	Mexico	386	10.100.3.	1..8
1020388	Plaza Valle Orizaba	Orizaba	Veracruz	Mexico	388	10.120.9.	1..12
1020390	Centro Tepozan	Nezahualcoyotl	Estado de Mexico	Mexico	390	10.116.38.	1..12
1020391	Plaza Centella Cuautitlan	Cuautitlan Izcalli	Estado de Mexico	Mexico	391	10.116.37.	1..10
1020392	Espacio Aguascalientes	Aguascalientes	Aguascalientes	Mexico	392	10.108.5.	1..8
1020393	Las Americas Taxco	Taxco	Guerrero	Mexico	393	10.121.10.	1..5
1020395	Adana Lincoln	Monterrey	Nuevo Leon	Mexico	395	10.103.14.	1..7
1020396	Zentralia	Ciudad del Carmen	Campeche	Mexico	396	10.125.2.	1..7
1020399	Gran Patio Tlaxcala	Tlaxcala	Tlaxcala	Mexico	399	10.113.1.	1..7
1020400	The Shoppes	La Paz	Baja California Sur	Mexico	400	10.97.6.	1..8
1020401	VIP Galerias Mall Hermosillo	Hermosillo	Sonora	Mexico	401	10.98.6.	11..16
1020402	Torres Lindavista	Ciudad de Mexico	Ciudad de Mexico	Mexico	402	10.117.15.	1..10
1020404	La Piedad	La Piedad	Michoacan	Mexico	404	10.115.13.	1..7
1020414	Plaza San Luis	San Luis Potosi	San Luis Potosi	Mexico	414	10.106.3.	1..12
1020415	Plaza San Diego	Puebla	Puebla	Mexico	415	10.119.8.	1..11
1020418	Escala Parral	Hidalgo del Parral	Chihuahua	Mexico	418	10.99.9.	1..7
1020419	Plaza Carso	Ciudad de Mexico	Ciudad de Mexico	Mexico	419	10.117.18.	1..5
1020420	Plaza Chimalhuacan	Chimalhuacan	Estado de Mexico	Mexico	420	10.116.34.	1..10
1020434	Arkana Norte	Cuautitlan Izcalli	Estado de Mexico	Mexico	434	10.116.33.	1..9
1020435	Del Rio Plaza Comercial	Reynosa	Tamaulipas	Mexico	435	10.104.8.	1..10
1020438	Galerias Celaya	Celaya	Guanajuato	Mexico	438	10.110.11.	1..10
1020439	Comalcalco	Comalcalco	Tabasco	Mexico	439	10.123.4.	1..5
1020440	San Joaquin	Villahermosa	Tabasco	Mexico	440	10.123.5.	1..5
1020443	Plaza Shangri-La	Cordoba	Veracruz	Mexico	443	10.120.10.	1..8
1020444	Paseo del Rio	San Juan Del Rio	Queretaro	Mexico	444	10.111.5.	1..7
1020445	Plaza Deportiva	Villahermosa	Tabasco	Mexico	445	10.123.6.	1..8
1020446	VIP Plaza Carso	Ciudad de Mexico	Ciudad de Mexico	Mexico	446	10.117.18.	6..9
1020447	Valle Soleado	Monterrey	Nuevo Leon	Mexico	447	10.103.13.	1..11
1020448	Oblatos	Guadalajara	Jalisco	Mexico	448	10.109.20.	1..10
1020449	Plaza Cañada	Huehuetoca	Estado de Mexico	Mexico	449	10.116.32.	1..5
1020450	VIP Plaza San Luis	San Luis Potosi	San Luis Potosi	Mexico	450	10.106.3.	13..16
1020452	Santa Rosa	Mazatlan	Sinaloa	Mexico	452	10.101.4.	1..5
1020453	VIP Paseo Interlomas	Huixquilucan	Estado de Mexico	Mexico	453	10.116.36.	11..15
